id,Timestamp,type,X,Y,chkcount,gsize
436,2014-6-08 09:48:51,check-in,0,67,12,42
878,2014-6-08 08:41:12,check-in,63,99,26,8
941,2014-6-08 08:35:48,check-in,63,99,23,5
1197,2014-6-08 08:25:10,check-in,63,99,24,7
1217,2014-6-08 08:28:52,check-in,0,67,15,4
1634,2014-6-08 08:00:22,check-in,63,99,18,2
1727,2014-6-08 08:40:08,check-in,63,99,19,18
1775,2014-6-08 08:22:23,check-in,63,99,19,5
1951,2014-6-08 08:20:18,check-in,99,77,19,4
1980,2014-6-08 08:05:45,check-in,0,67,15,5
2369,2014-6-08 08:20:42,check-in,63,99,10,3
2672,2014-6-08 08:55:25,check-in,63,99,19,2
2705,2014-6-08 08:45:20,check-in,63,99,20,7
4343,2014-6-08 08:24:04,check-in,0,67,8,7
4773,2014-6-08 08:49:17,check-in,63,99,11,4
6110,2014-6-08 08:30:24,check-in,63,99,23,13
6162,2014-6-08 08:49:55,check-in,0,67,11,2
6393,2014-6-08 08:22:05,check-in,99,77,15,1
6534,2014-6-08 08:30:24,check-in,63,99,23,13
6936,2014-6-08 08:37:59,check-in,63,99,15,1
7111,2014-6-08 08:31:48,check-in,63,99,7,3
7157,2014-6-08 08:28:28,check-in,99,77,13,3
7228,2014-6-08 08:11:52,check-in,63,99,13,8
7339,2014-6-08 08:29:07,check-in,0,67,35,4
7478,2014-6-08 08:08:18,check-in,63,99,28,4
7509,2014-6-08 08:40:08,check-in,63,99,16,10
7554,2014-6-08 08:36:39,check-in,63,99,25,2
7639,2014-6-08 08:09:27,check-in,99,77,25,4
7680,2014-6-08 08:58:39,check-in,99,77,12,4
8385,2014-6-08 08:07:59,check-in,99,77,24,2
8908,2014-6-08 08:34:22,check-in,99,77,24,4
8931,2014-6-08 08:16:52,check-in,99,77,16,4
9103,2014-6-08 08:43:05,check-in,63,99,17,3
9565,2014-6-08 08:42:11,check-in,0,67,19,3
9924,2014-6-08 08:21:23,check-in,63,99,14,2
10371,2014-6-08 08:49:44,check-in,63,99,11,1
11269,2014-6-08 08:00:52,check-in,63,99,16,4
11297,2014-6-08 08:41:44,check-in,63,99,21,2
11311,2014-6-08 08:45:12,check-in,63,99,13,1
11400,2014-6-08 08:30:38,check-in,99,77,16,4
12030,2014-6-08 08:41:46,check-in,63,99,12,5
12061,2014-6-08 08:47:35,check-in,63,99,9,4
12470,2014-6-08 08:21:42,check-in,63,99,21,8
13052,2014-6-08 08:57:46,check-in,0,67,32,3
13354,2014-6-08 08:27:30,check-in,0,67,17,1
14100,2014-6-08 08:47:35,check-in,63,99,9,4
14290,2014-6-08 08:56:30,check-in,63,99,24,6
14557,2014-6-08 08:01:31,check-in,99,77,16,10
14916,2014-6-08 09:09:50,check-in,0,67,18,42
15466,2014-6-08 08:38:05,check-in,63,99,21,13
15490,2014-6-08 09:57:51,check-in,63,99,19,44
